customer_id,region,state,customer_segment,signup_date
1,West,NV,Standard,2022-04-26
2,Midwest,WI,Standard,2024-09-04
3,Midwest,OH,Standard,2023-01-26
4,West,CA,Standard,2023-04-13
5,West,CA,Standard,2022-06-30
6,Midwest,MN,Standard,2022-10-23
7,Southeast,NC,Standard,2023-07-23
8,Southwest,TX,Standard,2022-10-06
9,Southeast,GA,Premium,2022-06-12
10,West,OR,Standard,2023-07-05
11,Northeast,CT,Standard,2023-11-26
12,Southwest,TX,Standard,2024-12-15
13,Southeast,VA,Standard,2023-02-09
14,Southeast,TN,Standard,2023-11-25
15,Midwest,IL,Standard,2023-07-11
16,Southwest,NM,Standard,2024-01-12
17,Northeast,PA,Premium,2023-01-17
18,Northeast,NY,Standard,2023-02-28
19,West,CA,Standard,2024-03-16
20,Northeast,MA,Standard,2023-12-24
21,West,CA,Standard,2022-10-13
22,West,CO,Standard,2024-08-24
23,Northeast,NY,Standard,2024-03-05
24,West,CA,Standard,2022-04-03
25,Northeast,NJ,Standard,2023-02-12
26,West,CA,Standard,2022-06-26
27,Midwest,MI,Standard,2022-09-03
28,Southwest,TX,Standard,2022-07-15
29,Southeast,NC,Standard,2023-09-15
30,Northeast,PA,Standard,2022-10-02
31,Midwest,MN,Standard,2024-09-19
32,Midwest,MN,Standard,2023-09-24
33,Midwest,MN,Standard,2023-07-01
34,Midwest,IL,Standard,2024-12-25
35,Midwest,MN,Premium,2024-03-29
36,West,NV,Standard,2024-11-24
37,West,CA,Standard,2022-12-01
38,Northeast,NY,Standard,2022-07-05
39,Midwest,OH,VIP,2022-03-19
40,Northeast,MA,Standard,2022-11-20
41,Southeast,FL,Standard,2024-02-16
42,Midwest,OH,Premium,2024-06-06
43,West,NV,Standard,2022-01-06
44,Southwest,OK,Standard,2024-02-08
45,West,CO,Premium,2022-01-31
46,Midwest,MI,Standard,2023-08-18
47,Southeast,GA,Premium,2022-10-02
48,Northeast,PA,Standard,2023-07-26
49,Southwest,OK,VIP,2023-05-16
50,West,CO,Standard,2024-02-05
51,Northeast,CT,VIP,2024-02-22
52,Northeast,PA,Standard,2022-03-27
53,Northeast,CT,Standard,2023-04-15
54,Southwest,TX,Standard,2022-06-21
55,Southeast,FL,Standard,2022-11-03
56,West,NV,Standard,2023-04-05
57,Southeast,NC,Premium,2022-01-16
58,Northeast,CT,Standard,2022-12-07
59,West,NV,Standard,2022-04-18
60,Midwest,WI,Standard,2023-04-21
61,Southeast,GA,VIP,2024-08-28
62,Southeast,GA,Standard,2023-07-05
63,West,NV,Standard,2023-11-06
64,West,WA,Standard,2023-10-04
65,West,CO,Standard,2023-12-06
66,Midwest,MI,Premium,2023-11-17
67,West,WA,Standard,2022-10-27
68,Northeast,MA,Standard,2023-11-08
69,Southeast,GA,Standard,2024-07-14
70,Northeast,MA,Standard,2023-06-28
71,Southwest,AZ,Standard,2024-08-18
72,Southwest,TX,VIP,2023-08-24
73,Midwest,MI,VIP,2023-03-28
74,Southeast,TN,Standard,2024-01-15
75,Southwest,NM,Standard,2024-09-15
76,Midwest,IL,Standard,2024-09-07
77,Southeast,VA,VIP,2024-07-16
78,Southeast,VA,VIP,2024-11-06
79,Midwest,MN,Standard,2023-10-22
80,Midwest,MN,Premium,2024-05-16
81,West,NV,VIP,2024-12-02
82,West,WA,Standard,2024-08-30
83,Southeast,GA,VIP,2024-01-24
84,West,CA,Standard,2022-04-03
85,Southwest,AZ,Standard,2024-09-03
86,Northeast,CT,Standard,2024-12-16
87,Southeast,FL,Premium,2022-09-17
88,West,NV,Premium,2023-02-17
89,Northeast,CT,Standard,2024-02-12
90,Southeast,NC,Standard,2023-06-24
91,Northeast,NJ,Standard,2024-03-22
92,Southwest,NM,Standard,2024-03-27
93,Midwest,IL,Standard,2022-11-09
94,West,NV,VIP,2022-01-14
95,West,NV,Standard,2022-02-17
96,West,CO,Standard,2023-08-30
97,West,WA,Standard,2022-08-26
98,Southeast,FL,Standard,2023-10-02
99,West,CA,Premium,2024-11-15
100,Northeast,NJ,Standard,2023-01-03
101,Northeast,NJ,Standard,2023-01-22
102,Midwest,WI,Standard,2022-10-12
103,Midwest,IL,Standard,2023-03-27
104,Midwest,MN,Standard,2022-03-25
105,West,OR,Premium,2023-11-03
106,Southeast,GA,Standard,2022-06-30
107,Southeast,FL,Standard,2024-12-14
108,Southeast,GA,Standard,2024-11-28
109,West,NV,Standard,2022-02-10
110,Northeast,CT,Standard,2024-08-04
111,West,NV,VIP,2023-09-01
112,Southwest,TX,Premium,2023-02-18
113,Southeast,FL,Standard,2024-11-10
114,Midwest,IL,Standard,2023-11-08
115,Southeast,GA,Standard,2023-06-06
116,West,WA,Premium,2023-08-28
117,Midwest,MI,Standard,2022-05-27
118,Northeast,CT,Standard,2024-02-10
119,Northeast,NJ,VIP,2023-10-28
120,Southwest,NM,Standard,2024-09-17
121,Southeast,FL,Premium,2023-03-11
122,Southwest,NM,Standard,2024-05-22
123,Midwest,IL,Standard,2022-10-10
124,Midwest,OH,Standard,2023-01-16
125,Northeast,PA,Standard,2022-03-25
126,Northeast,PA,Standard,2023-12-03
127,Northeast,NY,Premium,2023-06-03
128,Southwest,AZ,Standard,2022-09-03
129,West,WA,Standard,2022-07-13
130,Northeast,NY,Standard,2023-01-25
131,West,CA,Standard,2024-01-26
132,Northeast,NY,Standard,2024-01-24
133,Midwest,MI,VIP,2022-03-08
134,Southeast,FL,Standard,2023-10-17
135,West,WA,Premium,2023-08-05
136,Southwest,AZ,Standard,2022-10-04
137,Southwest,NM,Premium,2024-03-31
138,Northeast,MA,Standard,2023-08-07
139,Southeast,FL,Premium,2022-07-19
140,Midwest,IL,Standard,2022-12-25
141,Northeast,NY,Standard,2023-06-03
142,Southeast,FL,Standard,2022-04-06
143,Midwest,OH,Standard,2023-10-05
144,Midwest,OH,Standard,2023-02-02
145,Southwest,AZ,Standard,2023-06-30
146,Southeast,FL,Standard,2022-04-22
147,Northeast,NJ,Premium,2022-04-07
148,West,CA,Standard,2023-07-29
149,Southeast,VA,VIP,2024-09-08
150,Midwest,MI,Premium,2024-06-13
151,Southeast,NC,Premium,2024-02-26
152,Midwest,OH,Standard,2024-04-22
153,Northeast,NJ,Standard,2023-07-10
154,Southeast,FL,Standard,2022-11-13
155,Midwest,MI,VIP,2022-12-18
156,Midwest,OH,Standard,2023-08-24
157,Midwest,OH,Standard,2024-06-05
158,Southeast,TN,Standard,2022-05-08
159,Midwest,MI,Standard,2024-10-14
160,West,CO,Standard,2024-10-18
161,West,WA,Standard,2022-03-14
162,Southwest,AZ,Standard,2024-05-05
163,West,NV,Standard,2022-06-29
164,Northeast,CT,Standard,2023-11-25
165,West,CA,Premium,2023-03-06
166,West,OR,Standard,2023-08-15
167,Midwest,IL,Standard,2024-09-12
168,Southeast,TN,Premium,2023-11-15
169,Northeast,PA,Standard,2023-01-02
170,Northeast,CT,Standard,2024-03-22
171,Midwest,MN,Standard,2022-12-08
172,Southeast,FL,Standard,2023-09-17
173,Southwest,NM,Premium,2022-04-23
174,Midwest,WI,Standard,2023-10-24
175,Midwest,MN,Standard,2023-03-24
176,Southwest,NM,Standard,2024-01-30
177,Midwest,MI,Standard,2024-06-24
178,West,WA,VIP,2022-06-17
179,Midwest,OH,Standard,2022-01-20
180,West,CO,Standard,2024-10-03
181,West,NV,Premium,2022-06-17
182,Midwest,OH,Standard,2022-03-26
183,Northeast,NY,VIP,2023-05-09
184,Northeast,CT,Standard,2022-07-24
185,West,CA,Premium,2023-07-23
186,Midwest,MN,Standard,2024-03-25
187,Northeast,NY,Standard,2023-01-01
188,Southeast,FL,Premium,2024-10-07
189,Midwest,MI,Premium,2023-05-11
190,Southeast,VA,Premium,2022-09-29
191,Midwest,WI,Standard,2024-09-28
192,Southeast,NC,Standard,2022-01-15
193,Southwest,NM,VIP,2023-05-18
194,Midwest,WI,Standard,2022-07-21
195,Southeast,TN,Standard,2023-04-13
196,West,NV,Standard,2023-02-18
197,West,OR,Standard,2024-04-29
198,Midwest,OH,Standard,2023-06-11
199,Midwest,MI,Standard,2022-07-19
200,West,OR,Standard,2022-10-24
201,Southwest,OK,Premium,2024-12-07
202,West,NV,Standard,2023-08-28
203,Southeast,NC,Standard,2023-10-14
204,Southeast,TN,Standard,2023-12-16
205,Southeast,GA,Premium,2024-12-18
206,Midwest,MI,VIP,2024-10-31
207,Northeast,MA,Standard,2022-04-04
208,Northeast,PA,Standard,2024-08-17
209,Southwest,AZ,Premium,2024-06-14
210,Southeast,GA,Premium,2023-02-02
211,Northeast,NJ,Standard,2023-03-25
212,Midwest,OH,Premium,2022-08-29
213,West,CO,Standard,2024-08-08
214,Midwest,IL,Standard,2023-07-16
215,Southwest,AZ,Standard,2022-10-10
216,Northeast,PA,Standard,2022-05-25
217,West,WA,Standard,2022-01-21
218,West,NV,Premium,2023-06-30
219,Northeast,CT,Standard,2024-06-27
220,Northeast,MA,Standard,2022-10-16
221,Southeast,NC,Standard,2023-10-20
222,Southwest,NM,Standard,2024-07-06
223,Southeast,GA,Standard,2023-01-23
224,West,CA,Standard,2023-10-23
225,Southeast,TN,Premium,2023-04-24
226,West,OR,Standard,2023-09-13
227,Midwest,MN,Standard,2022-10-23
228,Midwest,MI,Standard,2022-02-26
229,Midwest,MN,Standard,2023-11-14
230,Midwest,IL,Standard,2024-03-08
231,Midwest,MI,Standard,2023-05-19
232,Northeast,MA,Premium,2024-01-31
233,Southeast,GA,Standard,2022-12-11
234,West,CA,Standard,2024-11-06
235,Midwest,WI,Standard,2024-08-13
236,Southwest,TX,Premium,2024-03-03
237,Southwest,OK,Standard,2023-06-20
238,Southeast,GA,Standard,2024-01-04
239,Northeast,NY,Standard,2023-09-14
240,West,NV,Premium,2022-07-30
241,Northeast,PA,VIP,2023-06-04
242,West,OR,Standard,2024-06-26
243,Northeast,PA,Standard,2023-06-11
244,West,OR,Standard,2024-03-04
245,Northeast,NY,Standard,2023-12-26
246,Southwest,TX,Premium,2023-11-06
247,Southeast,NC,Premium,2022-01-24
248,West,NV,Standard,2024-10-18
249,Northeast,NJ,Standard,2022-04-07
250,Northeast,NJ,Standard,2024-08-14
251,West,WA,Standard,2023-01-04
252,Midwest,IL,Standard,2022-05-01
253,Southeast,GA,Standard,2022-09-13
254,Northeast,NY,Premium,2022-02-19
255,Northeast,NY,Standard,2022-08-27
256,West,NV,Standard,2023-10-07
257,West,OR,Premium,2024-12-19
258,Southwest,OK,Standard,2024-10-29
259,Southwest,TX,Premium,2022-05-12
260,Northeast,NY,Standard,2022-07-24
261,Southwest,AZ,Premium,2023-11-21
262,Northeast,NY,VIP,2024-12-25
263,Northeast,MA,Standard,2023-06-22
264,West,OR,Premium,2022-09-03
265,Southeast,FL,Standard,2023-09-28
266,Northeast,NY,Standard,2022-10-26
267,Midwest,MI,VIP,2024-08-02
268,West,CA,Standard,2022-04-06
269,Southeast,NC,Premium,2023-06-27
270,Northeast,NJ,Standard,2024-09-06
271,West,WA,Standard,2023-06-11
272,Midwest,OH,Standard,2023-12-27
273,Midwest,MN,Standard,2024-08-20
274,West,CO,Premium,2024-08-07
275,Southwest,NM,Standard,2024-10-15
276,Northeast,PA,Premium,2022-06-23
277,West,WA,Standard,2024-08-20
278,Northeast,PA,Standard,2024-09-22
279,Northeast,MA,Premium,2023-07-10
280,Northeast,CT,Standard,2024-12-10
281,Southwest,NM,Standard,2022-01-10
282,West,OR,Premium,2023-08-16
283,West,CO,Standard,2024-10-17
284,Northeast,NJ,Standard,2024-04-24
285,West,CA,Premium,2024-02-15
286,Midwest,OH,Standard,2024-07-22
287,West,NV,Standard,2023-12-11
288,Midwest,WI,Standard,2022-01-25
289,Southeast,NC,Standard,2022-01-02
290,Northeast,MA,VIP,2023-04-12
291,Midwest,MN,Standard,2022-08-30
292,Northeast,NJ,Standard,2022-10-27
293,West,CO,Standard,2024-03-11
294,West,NV,Standard,2023-03-12
295,Southeast,NC,Standard,2022-12-18
296,Southwest,AZ,Standard,2022-02-04
297,Southwest,OK,Standard,2023-06-01
298,Midwest,WI,Standard,2024-08-09
299,Southwest,NM,Standard,2023-08-04
300,Northeast,CT,Standard,2022-02-05
301,West,OR,Standard,2023-05-21
302,Northeast,NY,Standard,2022-09-29
303,Midwest,IL,Standard,2023-12-15
304,Southeast,GA,Premium,2022-12-06
305,Midwest,MN,Standard,2023-03-06
306,Midwest,MI,Standard,2024-07-30
307,Southwest,OK,Premium,2024-03-31
308,Northeast,NJ,VIP,2022-06-06
309,Midwest,WI,Premium,2023-09-05
310,Northeast,NJ,Standard,2023-08-08
311,West,CA,Premium,2023-01-27
312,Southeast,GA,Standard,2024-05-26
313,Northeast,NJ,Standard,2023-11-28
314,Southwest,AZ,Standard,2023-11-07
315,Midwest,IL,Premium,2024-08-11
316,Southwest,AZ,Premium,2023-11-02
317,Midwest,MI,Premium,2023-08-23
318,West,WA,Standard,2022-02-14
319,Northeast,PA,Premium,2023-10-12
320,Southwest,TX,Premium,2022-08-29
321,West,CO,Premium,2024-08-12
322,Midwest,MI,Standard,2022-01-23
323,Southwest,TX,VIP,2024-12-03
324,Southwest,AZ,Standard,2022-08-30
325,Southeast,FL,Premium,2022-07-10
326,West,WA,Premium,2023-04-11
327,Southeast,VA,Premium,2023-07-07
328,Midwest,MI,Standard,2023-04-26
329,Southwest,OK,Standard,2023-10-17
330,West,WA,VIP,2022-11-07
331,Southeast,NC,Standard,2023-11-23
332,Southwest,NM,Premium,2023-03-20
333,Midwest,OH,Standard,2024-11-29
334,Northeast,CT,Standard,2023-04-24
335,Northeast,CT,Standard,2023-07-18
336,Southeast,GA,Standard,2023-12-16
337,Southeast,VA,Standard,2023-12-21
338,Southeast,VA,Standard,2024-11-27
339,Midwest,MI,Premium,2023-04-30
340,Southeast,TN,Standard,2024-06-26
341,Midwest,WI,Standard,2024-11-04
342,Southeast,VA,Standard,2023-10-26
343,Southeast,VA,Standard,2024-07-13
344,West,CO,Premium,2023-09-04
345,Midwest,WI,Standard,2022-03-04
346,Midwest,WI,Standard,2023-12-02
347,Southeast,TN,VIP,2022-12-13
348,Midwest,WI,Standard,2024-12-16
349,West,OR,Standard,2022-12-20
350,West,OR,Standard,2024-01-01
351,Northeast,CT,Standard,2024-10-26
352,Southwest,OK,VIP,2022-04-13
353,Southwest,OK,Standard,2024-11-20
354,Southeast,FL,Premium,2024-10-31
355,Southwest,AZ,Standard,2024-06-28
356,West,CA,Standard,2024-10-16
357,Southwest,TX,Standard,2024-10-27
358,West,NV,Standard,2023-01-17
359,Northeast,NY,Premium,2024-12-23
360,Southwest,TX,Standard,2024-03-19
361,West,NV,Premium,2024-10-10
362,Midwest,OH,Premium,2024-05-23
363,Midwest,MI,Standard,2022-11-22
364,Southwest,TX,Standard,2023-02-06
365,Southeast,TN,Standard,2023-08-24
366,Midwest,IL,Standard,2022-01-17
367,Midwest,OH,Premium,2023-07-02
368,Midwest,OH,Standard,2022-01-29
369,Southeast,VA,Standard,2023-07-31
370,Southeast,VA,Standard,2024-04-17
371,West,WA,Premium,2023-07-25
372,West,OR,Standard,2023-12-10
373,West,CA,Standard,2023-02-21
374,Northeast,CT,Standard,2022-04-22
375,Midwest,MN,Standard,2022-12-03
376,West,OR,Standard,2022-04-09
377,Southwest,AZ,Standard,2023-03-29
378,Northeast,PA,Standard,2024-07-30
379,West,CA,Standard,2022-10-08
380,West,CO,Standard,2024-06-12
381,Southeast,TN,Standard,2024-11-07
382,Midwest,MN,Premium,2022-09-07
383,Northeast,MA,Standard,2023-01-31
384,West,CA,Standard,2024-05-04
385,Southeast,NC,Premium,2024-01-06
386,West,OR,Standard,2023-05-10
387,Midwest,IL,Premium,2024-08-02
388,Northeast,NY,Standard,2022-12-08
389,Southeast,NC,Standard,2023-03-05
390,Midwest,IL,VIP,2022-05-30
391,Southwest,NM,Standard,2023-05-04
392,Southwest,NM,VIP,2022-05-21
393,Northeast,MA,Standard,2024-09-18
394,Southwest,OK,Standard,2024-09-06
395,Northeast,NY,Standard,2023-01-24
396,Northeast,NY,Premium,2024-01-04
397,Northeast,CT,Standard,2023-10-12
398,Southwest,OK,Standard,2022-12-31
399,Southwest,NM,Standard,2023-02-02
400,West,CO,Standard,2023-09-08
401,West,NV,Standard,2024-04-06
402,Northeast,MA,Standard,2023-05-09
403,Southwest,TX,Standard,2024-12-10
404,Midwest,MN,Standard,2024-12-02
405,Northeast,NJ,VIP,2023-08-15
406,West,NV,Standard,2022-10-09
407,West,CA,Standard,2023-07-09
